scenario_type,profile,target_cos,target_jac,len_ei,len_su,len_fo
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.5956,0.7535,903,1479,509
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6086,0.7574,762,1611,597
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6852,0.8301,1232,1432,383
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.7167,0.8824,854,1651,111
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6263,0.7721,878,1590,558
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.5578,0.7194,1023,1540,611
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6310,0.7951,939,1377,277
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6927,0.8248,865,1269,427
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.5953,0.7699,879,1462,291
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6143,0.7787,878,855,446
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6531,0.8045,1050,1204,411
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.5880,0.7451,1058,1780,640
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6434,0.7914,909,1480,501
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.5646,0.7239,906,1465,553
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.5900,0.7458,694,1092,448
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6162,0.7891,999,1337,293
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.7435,0.9342,578,1487,17
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6571,0.8129,986,1309,412
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.8283,0.9541,941,1031,36
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.8518,0.9626,879,1184,41
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6838,0.8182,887,1173,431
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6852,0.8298,1102,1037,357
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6321,0.7857,934,1692,458
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6428,0.7957,1452,1649,620
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6765,0.8088,733,1580,593
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.7060,0.8322,1028,1448,512
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.5444,0.7174,1040,1475,593
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6700,0.8028,802,1269,699
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.7044,0.8529,1381,1645,368
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6986,0.8529,1151,1728,237
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.6686,0.8080,789,1154,369
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.5433,0.7124,1079,1410,627
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.5819,0.7536,1055,1637,454
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.5031,0.6767,972,1412,538
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.7938,0.9508,1149,1445,34
mutual_transformation_journey,cell_88_messages_recog_multi_psycho_haiku,0.8067,0.9626,989,1540,15
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6085,0.7692,822,1621,388
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6386,0.7913,755,1613,375
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7196,0.8477,1087,1603,434
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6075,0.7580,972,1629,666
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7406,0.8834,1432,1484,226
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6272,0.7778,789,1287,453
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6856,0.8201,805,1421,442
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6265,0.7843,1123,1170,441
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7234,0.8673,821,993,203
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6359,0.7815,725,906,422
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6485,0.7955,788,1502,386
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6110,0.7647,861,1416,502
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6050,0.7778,1204,1100,413
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.8344,0.9444,1007,1124,66
epistemic_resistance_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6823,0.8320,876,1463,286
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6557,0.8056,950,951,455
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6505,0.7883,741,1516,660
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6418,0.8012,1342,1032,468
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5584,0.7533,1372,1545,395
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5109,0.6923,1159,1692,545
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6540,0.7951,729,1481,452
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7843,0.8909,697,1379,208
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6535,0.8261,1201,1290,229
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6234,0.7805,911,1223,350
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6215,0.8136,1020,1539,189
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6409,0.8000,881,1440,336
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6767,0.8298,665,1196,196
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7009,0.8269,587,1474,371
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5862,0.7426,844,1551,560
affective_shutdown_impasse,cell_88_messages_recog_multi_psycho_haiku,0.7672,0.9386,1028,1361,38
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6579,0.7986,898,1503,463
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6033,0.7582,1074,1463,662
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5852,0.7536,1063,1333,450
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5574,0.7244,1051,1841,591
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6870,0.8380,1107,1803,272
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5953,0.7466,906,1446,781
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6068,0.7658,1136,1501,602
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6205,0.7674,839,1227,557
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5862,0.7471,1255,1694,789
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5679,0.7292,1377,1106,972
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5830,0.7400,939,1380,722
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.5979,0.7778,881,1516,290
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6741,0.8054,735,1037,686
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6506,0.7953,1284,1527,684
productive_deadlock_impasse,cell_88_messages_recog_multi_psycho_haiku,0.6887,0.8489,1243,1589,259
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.6390,0.7857,521,742,325
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.5468,0.7179,471,792,265
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.5856,0.7396,502,669,453
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.6262,0.7739,595,708,357
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.4291,0.6125,485,659,247
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.4310,0.6024,389,606,396
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6190,0.7767,593,641,326
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.5531,0.7123,350,629,290
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6369,0.7822,544,733,351
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.5757,0.7381,443,555,264
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6813,0.8161,505,619,302
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6143,0.7614,361,722,422
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6849,0.8163,512,794,371
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6176,0.7636,514,1013,512
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6460,0.8041,599,685,236
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6558,0.7976,417,618,300
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.7889,0.8971,331,615,112
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6248,0.7711,424,630,284
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6950,0.8242,460,644,284
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.5449,0.7065,457,795,395
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.5504,0.7143,418,668,291
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6894,0.8211,665,753,418
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.7367,0.8505,506,719,360
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6311,0.7812,503,687,335
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.5833,0.7532,466,649,214
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.4911,0.6630,524,654,368
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6882,0.8182,528,717,362
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.5200,0.6892,350,682,272
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.5890,0.7416,365,776,403
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.7357,0.8654,730,976,211
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.7291,0.8500,529,720,286
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6093,0.7579,456,908,353
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6000,0.7500,342,921,425
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.5911,0.7534,408,696,241
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6672,0.8133,433,874,204
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6285,0.7745,510,835,375
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.5856,0.7396,467,826,364
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.5350,0.6988,425,602,325
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.5529,0.7170,578,786,369
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.5606,0.7273,855,1445,421
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.5489,0.7244,1173,1731,513
mood_frustration_to_breakthrough,cell_88_messages_recog_multi_psycho_haiku,0.6646,0.8113,1165,989,590
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6739,0.8117,973,1510,562
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.5423,0.7193,771,1201,348
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.7263,0.8525,818,1628,288
misconception_correction_flow,cell_88_messages_recog_multi_psycho_haiku,0.6254,0.7926,979,1048,342
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6699,0.8111,485,726,241
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6110,0.7614,437,637,272
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6699,0.8025,335,752,329
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.7365,0.8649,376,825,149
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6586,0.8046,465,614,220
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6724,0.8049,359,665,306
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.5740,0.7308,325,721,315
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6934,0.8256,418,925,236
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.7610,0.9298,414,638,24
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.5858,0.7500,462,943,233
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6217,0.7717,460,782,329
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6500,0.7922,343,885,229
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.7295,0.8556,505,794,195
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.6596,0.7976,389,700,292
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.5612,0.7294,471,718,248
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.7033,0.8354,418,652,199
affective_shutdown_impasse,cell_87_messages_recog_multi_psycho,0.5689,0.7253,408,887,361
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.6465,0.7870,568,904,445
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.5852,0.7391,436,815,385
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.6399,0.7816,387,689,329
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.6228,0.7818,661,793,281
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.6766,0.8072,308,936,354
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.5729,0.7614,605,957,202
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.5996,0.7500,506,734,540
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.7035,0.8261,402,714,357
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.6089,0.7573,479,776,490
productive_deadlock_impasse,cell_87_messages_recog_multi_psycho,0.5245,0.6892,353,791,352
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6385,0.7907,455,867,267
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4878,0.6629,491,916,359
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5024,0.6747,424,754,273
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4974,0.6757,370,1007,213
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4792,0.6582,450,1042,239
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4274,0.6027,430,928,288
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6460,0.7889,467,976,301
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4177,0.5909,348,873,257
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5229,0.6941,465,946,312
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4746,0.6627,476,824,243
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6901,0.8222,500,909,284
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4485,0.6197,334,879,307
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6769,0.8172,521,726,332
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5118,0.6848,578,760,370
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.8112,0.9041,373,577,170
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6750,0.8289,456,900,166
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5845,0.7397,286,967,327
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6239,0.7700,544,969,406
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6181,0.7742,594,1052,282
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6494,0.7961,587,996,313
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5847,0.7391,408,877,359
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6376,0.7800,476,913,381
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5877,0.7500,410,665,236
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6231,0.7732,483,710,311
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5563,0.7363,587,884,233
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5718,0.7284,390,586,325
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5210,0.7083,407,798,193
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5778,0.7416,489,838,301
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6672,0.8144,536,1046,243
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5648,0.7412,552,812,232
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6660,0.8333,694,1051,183
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6819,0.8172,521,847,276
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6699,0.8101,396,820,244
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5605,0.7245,607,948,371
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6006,0.7619,471,822,236
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4917,0.6697,686,873,409
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6576,0.8000,544,950,265
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5920,0.7442,378,895,339
misconception_correction_flow,cell_81_messages_base_single_psycho,0.8687,0.9667,7,382,170
misconception_correction_flow,cell_81_messages_base_single_psycho,0.7051,0.8361,274,440,182
misconception_correction_flow,cell_81_messages_base_single_psycho,0.7303,0.8481,414,581,239
misconception_correction_flow,cell_81_messages_base_single_psycho,0.6831,0.8228,417,531,215
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6016,0.7590,429,534,266
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6918,0.8256,433,566,287
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6817,0.8218,614,651,289
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6858,0.8152,475,600,352
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6383,0.7792,337,539,308
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6393,0.7917,573,697,263
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6879,0.8211,423,621,322
misconception_correction_flow,cell_85_messages_recog_single_psycho,0.6177,0.7708,565,658,324
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.7087,0.8298,402,602,393
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6764,0.8072,343,732,340
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.5633,0.7209,372,662,400
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.5674,0.7342,453,522,268
mutual_transformation_journey,cell_81_messages_base_single_psycho,0.6872,0.8200,529,611,290
mutual_transformation_journey,cell_81_messages_base_single_psycho,0.6127,0.7692,418,585,222
mutual_transformation_journey,cell_81_messages_base_single_psycho,0.6719,0.8068,394,684,309
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7501,0.8627,527,610,308
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7170,0.8384,498,588,342
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6186,0.7647,485,552,431
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.7000,0.8300,517,615,311
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.6378,0.7810,531,582,336
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6125,0.7671,394,551,244
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6203,0.7748,653,715,398
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6369,0.7857,392,679,240
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.6335,0.7778,353,576,418
mutual_transformation_journey,cell_85_messages_recog_single_psycho,0.5726,0.7297,616,705,425
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6466,0.7864,504,669,371
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.6012,0.7551,516,677,361
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.7186,0.8396,541,625,307
mutual_transformation_journey,cell_87_messages_recog_multi_psycho,0.7226,0.8485,503,618,243
epistemic_resistance_impasse,cell_81_messages_base_single_psycho,0.7129,0.8370,468,570,275
epistemic_resistance_impasse,cell_81_messages_base_single_psycho,0.6622,0.8052,398,594,257
epistemic_resistance_impasse,cell_81_messages_base_single_psycho,0.6989,0.8228,281,635,337
epistemic_resistance_impasse,cell_81_messages_base_single_psycho,0.7051,0.8554,522,665,145
epistemic_resistance_impasse,cell_81_messages_base_single_psycho,0.7311,0.8590,418,644,206
epistemic_resistance_impasse,cell_83_messages_base_multi_psycho,0.6632,0.8049,420,702,242
epistemic_resistance_impasse,cell_83_messages_base_multi_psycho,0.5833,0.7449,558,783,321
epistemic_resistance_impasse,cell_83_messages_base_multi_psycho,0.6777,0.8105,500,558,307
epistemic_resistance_impasse,cell_83_messages_base_multi_psycho,0.6425,0.7857,529,606,342
epistemic_resistance_impasse,cell_83_messages_base_multi_psycho,0.6881,0.8191,469,796,316
epistemic_resistance_impasse,cell_85_messages_recog_single_psycho,0.5679,0.7273,526,607,447
epistemic_resistance_impasse,cell_85_messages_recog_single_psycho,0.5472,0.7115,548,648,397
epistemic_resistance_impasse,cell_85_messages_recog_single_psycho,0.7106,0.8333,548,628,371
epistemic_resistance_impasse,cell_85_messages_recog_single_psycho,0.7215,0.8384,432,579,400
epistemic_resistance_impasse,cell_85_messages_recog_single_psycho,0.6301,0.7917,551,549,210
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6259,0.7700,456,806,400
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6201,0.7745,591,649,310
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6562,0.7980,519,634,311
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6990,0.8333,482,508,231
epistemic_resistance_impasse,cell_87_messages_recog_multi_psycho,0.6871,0.8229,498,506,255
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6244,0.7778,418,733,228
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6581,0.7938,471,983,428
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5858,0.7500,581,986,371
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.4187,0.5909,402,688,480
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6382,0.7805,365,1087,337
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5640,0.7349,523,1034,246
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6101,0.7579,468,756,439
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5240,0.6882,404,723,436
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5874,0.7474,574,902,317
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5503,0.7185,873,908,490
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5642,0.7303,1123,958,566
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.5843,0.7584,1058,829,451
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.5881,0.7524,592,877,335
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.4933,0.6628,452,911,402
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.5218,0.6983,691,1046,407
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.5421,0.7059,571,856,494
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.5257,0.7000,487,947,272
mood_frustration_to_breakthrough,cell_92_messages_recog_single_psycho_gemflash,0.6414,0.7857,428,1007,340
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6757,0.8155,605,756,299
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6475,0.7900,498,676,329
mood_frustration_to_breakthrough,cell_89_messages_recog_multi_psycho_gemflash,0.6728,0.8191,530,937,215
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.8174,0.9000,65,499,56
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.7281,0.8772,57,636,387
mood_frustration_to_breakthrough,cell_83_messages_base_multi_psycho,0.4564,0.7045,287,606,70
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.6446,0.8154,95,125,367
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.6211,0.8056,131,669,500
mood_frustration_to_breakthrough,cell_87_messages_recog_multi_psycho,0.5169,0.6848,490,110,369
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.5809,0.7349,366,622,323
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.7741,0.9074,40,545,315
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.4545,0.6250,50,656,55
misconception_correction_flow,cell_83_messages_base_multi_psycho,0.6988,0.8772,380,636,54
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.7275,0.8654,91,587,304
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.8526,0.9211,138,557,84
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.6745,0.8125,469,584,218
misconception_correction_flow,cell_87_messages_recog_multi_psycho,0.4419,0.6885,115,96,417
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.8457,0.9167,68,512,62
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.2727,0.4286,56,142,51
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.5682,0.8136,447,543,49
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.3264,0.5000,59,80,50
mutual_transformation_journey,cell_83_messages_base_multi_psycho,0.5714,0.7931,83,628,356
